,n_sim,n_p,n_p_f
1566,391,5,1
1567,391,6,1
1568,392,2,2
1569,392,3,2
1570,392,5,1
1571,392,6,2
1572,393,2,1
1573,393,3,1
1574,393,5,1
1575,393,6,2
1576,394,2,1
1577,394,3,1
1578,394,5,2
1579,394,6,1
1580,395,2,1
1581,395,3,1
1582,395,5,1
1583,395,6,1
1584,396,2,2
1585,396,3,1
1586,396,5,1
1587,396,6,1
1588,397,2,1
1589,397,3,1
1590,397,5,1
1591,397,6,2
1592,398,2,1
1593,398,3,1
1594,398,5,2
1595,398,6,2
1596,399,2,1
1597,399,3,2
1598,399,5,1
1599,399,6,2
1600,400,2,2
1601,400,3,1
1602,400,5,1
1603,400,6,2
1604,401,2,2
1605,401,3,2
1606,401,5,2
1607,401,6,1
1608,402,2,1
1609,402,3,1
1610,402,5,1
1611,402,6,1
1612,403,2,2
1613,403,3,2
1614,403,5,2
1615,403,6,1
1616,404,2,1
1617,404,3,1
1618,404,5,2
1619,404,6,1
1620,405,2,2
1621,405,3,1
1622,405,5,2
1623,405,6,1
1624,406,2,1
1625,406,3,1
1626,406,5,1
1627,406,6,1
1628,407,2,2
1629,407,3,2
1630,407,5,2
1631,407,6,2
1632,408,2,2
1633,408,3,2
1634,408,5,2
1635,408,6,1
1636,409,2,2
1637,409,3,2
1638,409,5,2
1639,409,6,2
1640,410,2,1
1641,410,3,2
1642,410,5,1
1643,410,6,2
1644,411,2,1
1645,411,3,2
1646,411,5,2
1647,411,6,1
1648,412,2,2
1649,412,3,1
1650,412,5,1
1651,412,6,2
1652,413,2,1
1653,413,3,1
1654,413,5,2
